Timestamp,Operation_Type,Facility_ID,Asset_Tag,Asset_Type,Status,Priority,Energy_Usage_kWh,Temperature_C,Pressure_Bar,Flow_Rate_LPM,Efficiency_Percent,Maintenance_Status,Operator_ID,Shift_Period,Department,Zone,Cost_Per_Hour_USD,Production_Units,Quality_Index,Safety_Score,Alert_Level,Last_Maintenance,Next_Maintenance,Downtime_Minutes,Throughput_Rate,Equipment_Age_Years,Vibration_Level,Noise_dB,Emission_Rate_kg_h
2024-09-26 08:00:00,Terminal,TRM_001,CNT_001,Container_Crane,Operational,High,450.2,35.6,12.5,250.8,94.2,Scheduled,OPR_101,Day_Shift,Port_Operations,Dock_A,125.50,42,98.5,95.2,Green,2024-09-20,2024-10-20,5,85.7,8,0.8,72.3,12.4
2024-09-26 08:15:00,Terminal,TRM_001,RTG_002,Rubber_Tire_Gantry,Operational,Medium,320.7,32.1,10.2,180.4,91.8,Good,OPR_102,Day_Shift,Port_Operations,Yard_B,95.25,38,97.1,96.8,Green,2024-09-18,2024-11-15,2,92.3,5,0.6,68.9,8.7
2024-09-26 08:30:00,Courier,CRR_001,VHC_003,Delivery_Truck,In_Transit,High,65.3,28.9,2.1,45.2,89.4,Good,DRV_201,Day_Shift,Logistics,Route_C,45.80,15,94.7,98.1,Yellow,2024-09-25,2024-10-25,0,78.6,3,0.4,65.2,5.2
2024-09-26 08:45:00,Workforce,WRK_001,EQP_004,Forklift,Operational,Medium,25.6,30.2,1.8,0,96.3,Excellent,WRK_301,Day_Shift,Warehouse,Section_D,22.75,28,99.2,97.5,Green,2024-09-22,2024-10-22,1,95.4,2,0.3,58.7,2.1
2024-09-26 09:00:00,Energy,ENR_001,GEN_005,Gas_Generator,Operational,Critical,1250.8,85.4,15.8,320.6,87.9,Needs_Attention,OPR_401,Day_Shift,Power_Plant,Unit_1,285.90,0,89.3,92.6,Yellow,2024-09-15,2024-10-01,12,76.8,12,1.2,78.4,45.6
2024-09-26 09:15:00,Terminal,TRM_002,STS_006,Ship_To_Shore_Crane,Operational,High,680.4,38.7,14.2,280.3,93.6,Good,OPR_103,Day_Shift,Port_Operations,Berth_2,165.40,35,96.8,94.7,Green,2024-09-19,2024-11-19,3,88.2,10,0.9,75.1,18.3
2024-09-26 09:30:00,Courier,CRR_002,VAN_007,Delivery_Van,Loading,Medium,42.1,26.5,2.0,35.7,92.7,Good,DRV_202,Day_Shift,Logistics,Hub_Central,38.50,12,96.4,97.9,Green,2024-09-24,2024-11-24,0,82.1,1,0.2,62.8,3.8
2024-09-26 09:45:00,Workforce,WRK_002,CONV_008,Conveyor_Belt,Operational,Low,95.7,33.8,3.5,450.9,94.8,Excellent,WRK_302,Day_Shift,Assembly,Line_E,35.60,85,98.7,99.1,Green,2024-09-21,2024-12-21,0,97.3,4,0.5,71.2,6.9
2024-09-26 10:00:00,Energy,ENR_002,TURB_009,Steam_Turbine,Operational,Critical,2150.3,125.6,25.4,580.2,85.1,Scheduled,OPR_402,Day_Shift,Power_Plant,Unit_2,495.75,0,86.7,91.3,Yellow,2024-09-10,2024-09-30,18,72.4,15,1.5,82.6,78.2
2024-09-26 10:15:00,Terminal,TRM_003,AGV_010,Automated_Guided_Vehicle,Operational,Medium,35.8,29.1,1.5,0,98.2,Excellent,AUTO,Day_Shift,Automation,Zone_F,28.90,22,99.5,98.8,Green,2024-09-23,2024-12-23,0,99.1,1,0.1,45.2,1.5
2024-09-26 10:30:00,Courier,CRR_003,BIKE_011,E_Bike,In_Transit,Low,8.4,24.7,0,15.3,95.6,Good,DRV_203,Day_Shift,Last_Mile,Urban_G,15.25,8,97.8,99.4,Green,2024-09-26,2024-10-26,0,89.7,0.5,0.1,52.4,0.8
2024-09-26 10:45:00,Workforce,WRK_003,ROB_012,Industrial_Robot,Operational,High,180.6,45.2,8.7,0,96.7,Good,AUTO,Day_Shift,Manufacturing,Cell_H,75.80,65,98.1,96.2,Green,2024-09-17,2024-10-17,4,94.8,6,0.7,69.5,4.2
2024-09-26 14:00:00,Terminal,TRM_001,CNT_001,Container_Crane,Operational,High,465.8,37.2,12.8,260.4,93.1,Good,OPR_104,Afternoon_Shift,Port_Operations,Dock_A,125.50,39,97.3,95.8,Green,2024-09-20,2024-10-20,2,84.6,8,0.9,73.7,13.1
2024-09-26 14:15:00,Energy,ENR_003,SOLAR_013,Solar_Panel_Array,Operational,Medium,850.2,55.3,0,0,78.4,Excellent,AUTO,Afternoon_Shift,Renewable,Field_I,0,0,94.2,99.7,Green,2024-09-01,2024-12-01,0,78.4,3,0,35.8,0
2024-09-26 14:30:00,Courier,CRR_001,VHC_003,Delivery_Truck,Operational,High,71.2,31.5,2.2,48.6,88.7,Needs_Service,DRV_201,Afternoon_Shift,Logistics,Route_C,45.80,18,93.5,96.9,Yellow,2024-09-25,2024-10-25,8,76.2,3,0.5,67.1,5.8
